NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
100009322	OLR1	oxidized low density lipoprotein receptor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4973	NCBI Ortholog
100008840	CASP3	caspase 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	836	NCBI Ortholog
100009271	ACTA2	actin alpha 2, smooth muscle	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	59	NCBI Ortholog
100008833	NOS2	nitric oxide synthase 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	4843	NCBI Ortholog
100009094	PGR	progesterone receptor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	5241	NCBI Ortholog
100009097	LOC100009097	Ig gamma chain C region	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009297	PHKG1	phosphorylase kinase catalytic subunit gamma 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5260	NCBI Ortholog
100009452	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	10021	NCBI Ortholog
100009005	COL2A1	collagen type II alpha 1 chain	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	1280	NCBI Ortholog
100009479	KCNA2	potassium voltage-gated channel subfamily A member 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	3737	NCBI Ortholog
100009253	APOA1	apolipoprotein A1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	335	NCBI Ortholog
100009337	APOE	apolipoprotein E	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	348	NCBI Ortholog
100009143	LOC100009143	myosin light chain kinase, smooth muscle	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009111	MMP3	matrix metallopeptidase 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009129	CXCL8	C-X-C motif chemokine ligand 8	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3576	NCBI Ortholog
100009248	PTGS2	prostaglandin-endoperoxide synthase 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5743	NCBI Ortholog
100008638	CCN2	cellular communication network factor 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1490	NCBI Ortholog
100008745	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	16	3778	NCBI Ortholog
100008943	RUNX2	RUNX family transcription factor 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	13	860	NCBI Ortholog
100009285	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	8894	NCBI Ortholog
100009428	LOC100009428	troponin T, cardiac muscle	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7		
100009105	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	781	NCBI Ortholog
100328570	SLC8A1	solute carrier family 8 member A1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6546	NCBI Ortholog
100008668	IGF1	insulin like growth factor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	3479	NCBI Ortholog
100008669	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	479	NCBI Ortholog
100009316	MAP2K1	mitogen-activated protein kinase kinase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5604	NCBI Ortholog
100009194	SFTPB	surfactant protein B	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6439	NCBI Ortholog
100009133	PON1	paraoxonase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5444	NCBI Ortholog
100009430	SLC9A3	solute carrier family 9 member A3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6550	NCBI Ortholog
100008747	LEP	leptin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3952	NCBI Ortholog
100303771	PHKA1	phosphorylase kinase regulatory subunit alpha 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	5255	NCBI Ortholog
100009051	MYLK2	myosin light chain kinase 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	85366	NCBI Ortholog
100343964	PVALB	parvalbumin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5816	NCBI Ortholog
100009292	TP53	tumor protein p53	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	7157	NCBI Ortholog
100008685	MMP13	matrix metallopeptidase 13	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4322	NCBI Ortholog
100009071	AKR1C5	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2		
100009162	SFTPC	surfactant protein C	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	6440	NCBI Ortholog
100009251	MME	membrane metalloendopeptidase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	4311	NCBI Ortholog
100009267	TF	transferrin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7018	NCBI Ortholog
100009275	TAC1	tachykinin precursor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	6863	NCBI Ortholog
100009320	SOD3	superoxide dismutase 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	6649	NCBI Ortholog
100009334	CTSK	cathepsin K	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	1513	NCBI Ortholog
100328549	CYP2C5	cytochrome P450 2C5	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4		
100328622	CXCR1	C-X-C motif chemokine receptor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3577	NCBI Ortholog
100328976	RN18S	18S ribosomal RNA	Oryctolagus cuniculus	rabbit	rRNA	1		
100008898	ITGB1	integrin subunit beta 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	3688	NCBI Ortholog
100008846	EZR	ezrin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	7430	NCBI Ortholog
100342572	LOC100342572	cytochrome P450 2E1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009349	BMP2	bone morphogenetic protein 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009586	SLC9A1	solute carrier family 9 member A1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6548	NCBI Ortholog
100355675	BAX	BCL2 associated X, apoptosis regulator	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	581	NCBI Ortholog
100009542	MYL11	myosin light chain 11	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	29895	NCBI Ortholog
100009130	CCL2	chemokine (C-C motif) ligand 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100302415	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	476	NCBI Ortholog
100008974	NAT1	N-acetyltransferase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	9	NCBI Ortholog
100009034	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3779	NCBI Ortholog
100009116	MCP2	macrophage cationic peptide 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009145	MYH11	myosin heavy chain 11	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4629	NCBI Ortholog
100009237	ADRA1A	adrenoceptor alpha 1A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	9	148	NCBI Ortholog
100009401	TFPI	tissue factor pathway inhibitor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	7035	NCBI Ortholog
100328958	SRY	sex determining region Y	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6736	NCBI Ortholog
100009189	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1915	NCBI Ortholog
100343299	LOC100343299	Metallothionein-2A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
808233	COX2	cytochrome c oxidase subunit II	Oryctolagus cuniculus	rabbit	PROTEIN_CODING			
100009136	LOC100009136	corticostatin-6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009068	FGF2	fibroblast growth factor 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2247	NCBI Ortholog
100009520	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5504	NCBI Ortholog
100009471	CFTR	CF transmembrane conductance regulator	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	10	1080	NCBI Ortholog
100101577	TNFSF13B	TNF superfamily member 13b	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	10673	NCBI Ortholog
100125987	MYH6	myosin heavy chain 6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4624	NCBI Ortholog
100009277	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	13	783	NCBI Ortholog
100008769	ENO3	enolase 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2027	NCBI Ortholog
100037720	PRKCA	protein kinase C alpha	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	5578	NCBI Ortholog
100349271	SIRT1	sirtuin 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	23411	NCBI Ortholog
100008975	S100A11	S100 calcium binding protein A11	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6282	NCBI Ortholog
100009087	NPPA	natriuretic peptide A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4878	NCBI Ortholog
100008633	PLAU	plasminogen activator, urokinase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5328	NCBI Ortholog
100009103	PRKCE	protein kinase C epsilon	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5581	NCBI Ortholog
100009261	CASQ2	calsequestrin 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	845	NCBI Ortholog
100009541	HPX	hemopexin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3263	NCBI Ortholog
100341507	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	815	NCBI Ortholog
100009089	CAPN1	calpain 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	823	NCBI Ortholog
100009140	PPP1R3A	protein phosphatase 1 regulatory subunit 3A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5506	NCBI Ortholog
100008677	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1917	NCBI Ortholog
100008683	SCP2	sterol carrier protein 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6342	NCBI Ortholog
100008812	LIPH	lipase H	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	200879	NCBI Ortholog
100008979	CACNA1B	calcium voltage-gated channel subunit alpha1 B	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	774	NCBI Ortholog
100008982	SPP1	secreted phosphoprotein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	6696	NCBI Ortholog
100009044	SFTPA1	surfactant protein A1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009060	SLC3A1	solute carrier family 3 member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6519	NCBI Ortholog
100009098	CAST	calpastatin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	12	831	NCBI Ortholog
100009117	CNTF	ciliary neurotrophic factor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1270	NCBI Ortholog
100009123	WARS1	tryptophanyl-tRNA synthetase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	7453	NCBI Ortholog
100009131	ZP4	zona pellucida glycoprotein 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	57829	NCBI Ortholog
100009154	ACO1	aconitase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	48	NCBI Ortholog
100009167	ANPEP	alanyl aminopeptidase, membrane	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	290	NCBI Ortholog
100009220	ROCK1	Rho associated coiled-coil containing protein kinase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	6093	NCBI Ortholog
100009224	SHBG	sex hormone binding globulin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6462	NCBI Ortholog
100009225	UBA1	ubiquitin like modifier activating enzyme 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	7317	NCBI Ortholog
100009262	SLC5A1	solute carrier family 5 member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	6523	NCBI Ortholog
100009389	PTGER3	prostaglandin E receptor 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	5733	NCBI Ortholog
100009461	HTR2A	5-hydroxytryptamine receptor 2A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	3356	NCBI Ortholog
100009491	EGR1	early growth response 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1958	NCBI Ortholog
100009548	MYH4	myosin heavy chain 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4622	NCBI Ortholog
100009551	CES1	carboxylesterase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	1066	NCBI Ortholog
100302437	SLC6A19	solute carrier family 6 member 19	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2		
100342407	PYGB	glycogen phosphorylase B	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5834	NCBI Ortholog
100356594	LOC100356594	nucleotide-binding oligomerization domain-containing protein 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5		
100009047	TIMP1	TIMP metallopeptidase inhibitor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7076	NCBI Ortholog
100009166	LOC100009166	leukocyte protein	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2		
100328933	CYP2C	cytochrome P450-like	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328946	CYP4A6	cytochrome P450 4A6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100008749	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	481	NCBI Ortholog
100009115	MCP-1	macrophage cationic peptide 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100008601	AOX1	aldehyde oxidase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100009246	SLN	sarcolipin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	6588	NCBI Ortholog
100008811	OVGP1	oviductal glycoprotein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5016	NCBI Ortholog
100008701	IL10	interleukin 10	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	3586	NCBI Ortholog
100008844	SLC7A5	solute carrier family 7 member 5	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	8140	NCBI Ortholog
100009137	PHKB	phosphorylase kinase regulatory subunit beta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	5257	NCBI Ortholog
100101566	MYH7	myosin heavy chain 7	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4625	NCBI Ortholog
100343293	PKIA	cAMP-dependent protein kinase inhibitor alpha	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	5569	NCBI Ortholog
100008987	KCNJ2	potassium inwardly rectifying channel subfamily J member 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3759	NCBI Ortholog
100008834	FGF8	fibroblast growth factor 8	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	2253	NCBI Ortholog
100009196	NHERF1	NHERF family PDZ scaffold protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	9368	NCBI Ortholog
100008733	IL6	interleukin 6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3569	NCBI Ortholog
100008753	TYR	tyrosinase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	7299	NCBI Ortholog
100008837	CAV1	caveolin 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	857	NCBI Ortholog
100009046	PRLR	prolactin receptor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	11	5618	NCBI Ortholog
100009102	PRKCG	protein kinase C gamma	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5582	NCBI Ortholog
100009118	TGM1	transglutaminase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7051	NCBI Ortholog
100009233	IP6K2	inositol hexakisphosphate kinase 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	51447	NCBI Ortholog
100009300	PPP2CB	protein phosphatase 2 catalytic subunit beta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5516	NCBI Ortholog
100009495	S100B	S100 calcium binding protein B	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	6285	NCBI Ortholog
100009539	CSN2	casein beta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1447	NCBI Ortholog
100009544	ACTN3	actinin alpha 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	89	NCBI Ortholog
100009558	IL1RN	interleukin 1 receptor antagonist	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3557	NCBI Ortholog
100009593	SLC13A2	solute carrier family 13 member 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	9058	NCBI Ortholog
100328951	RAG2	recombination activating 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5897	NCBI Ortholog
100328954	CYP3A6	cytochrome P450 3A6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100352455	SDC4	syndecan 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6385	NCBI Ortholog
100009265	CACNA1A	calcium voltage-gated channel subunit alpha1 A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	773	NCBI Ortholog
100008725	ADORA3	adenosine A3 receptor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	140	NCBI Ortholog
100008966	PRKCD	protein kinase C delta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	5580	NCBI Ortholog
100009070	SLC1A1	solute carrier family 1 member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	6505	NCBI Ortholog
100009302	HINT1	histidine triad nucleotide binding protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3094	NCBI Ortholog
